service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
85.0.1,1,1,1,1,1,0,0,20260104,20260704
85.0.2,0,0,0,0,0,1,0,20260104,20260704
85.0.3,0,0,0,0,0,0,1,20260104,20260704
86.0.1,1,1,1,1,1,0,0,20260705,20270102
86.0.2,0,0,0,0,0,1,0,20260705,20270102
86.0.3,0,0,0,0,0,0,1,20260705,20270102
85.1.1,0,0,0,0,0,0,0,20260104,20260704
85.10.1,0,0,0,0,0,0,0,20260104,20260704
85.108.1,0,0,0,0,0,0,0,20260104,20260704
85.108.2,0,0,0,0,0,0,0,20260104,20260704
85.108.3,0,0,0,0,0,0,0,20260104,20260704
85.109.1,0,0,0,0,0,0,0,20260104,20260704
85.109.2,0,0,0,0,0,0,0,20260104,20260704
85.109.3,0,0,0,0,0,0,0,20260104,20260704
85.127.3,0,0,0,0,0,0,0,20260104,20260704
85.132.2,0,0,0,0,0,0,0,20260104,20260704
85.133.2,0,0,0,0,0,0,0,20260104,20260704
85.135.2,0,0,0,0,0,0,0,20260104,20260704
85.136.2,0,0,0,0,0,0,0,20260104,20260704
85.2.1,0,0,0,0,0,0,0,20260104,20260704
85.3.1,0,0,0,0,0,0,0,20260104,20260704
85.4.1,0,0,0,0,0,0,0,20260104,20260704
85.56.2,0,0,0,0,0,0,0,20260104,20260704
85.58.2,0,0,0,0,0,0,0,20260104,20260704
85.64.2,0,0,0,0,0,0,0,20260104,20260704
85.71.3,0,0,0,0,0,0,0,20260104,20260704
85.9.1,0,0,0,0,0,0,0,20260104,20260704
85.91.1,0,0,0,0,0,0,0,20260104,20260704
85.92.1,0,0,0,0,0,0,0,20260104,20260704
86.1.1,0,0,0,0,0,0,0,20260705,20270102
86.10.1,0,0,0,0,0,0,0,20260705,20270102
86.132.2,0,0,0,0,0,0,0,20260705,20270102
86.2.1,0,0,0,0,0,0,0,20260705,20270102
86.3.1,0,0,0,0,0,0,0,20260705,20270102
86.4.1,0,0,0,0,0,0,0,20260705,20270102
86.64.2,0,0,0,0,0,0,0,20260705,20270102
86.71.3,0,0,0,0,0,0,0,20260705,20270102
86.9.1,0,0,0,0,0,0,0,20260705,20270102
86.91.1,0,0,0,0,0,0,0,20260705,20270102
